id,host_id,host_neighbourhood,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,price
44077,193005,Churchtown,,"Churchtown, Ireland",Dn Laoghaire-Rathdown,,,,,,,Private room in bungalow,Private room,2,1,2,$58.00
85148,466111,Templeogue,,,South Dublin,,,,,,,Private room in house,Private room,2,1,1,$30.00
85156,193005,Churchtown,,"Churchtown, Ireland",Dn Laoghaire-Rathdown,,,,,,,Private room in bungalow,Private room,2,1,1,$56.00
121030,608225,Sandymount,,"Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,2,1,1,$55.00
159889,766611,Beaumont,,"Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,1,3,6,$38.00
162809,777681,Blackrock,,"Dublin, Ireland",Dn Laoghaire-Rathdown,,,,,,,Private room in townhouse,Private room,6,2,4,$68.00
165828,790601,Kilmainham,,"Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,5,1,1,$127.00
165829,790601,Kilmainham,,"Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,5,1,3,$121.00
178860,856312,Portobello,,"Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,2,1,0,$80.00
181823,608225,Sandymount,,"Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,2,1,1,$75.00
200979,982970,,,"Dalkey, Dublin, Ireland",Dn Laoghaire-Rathdown,,,,,,,Entire house,Entire home/apt,6,2,4,$160.00
237465,1245198,,,"Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,3,1,2,$52.00
245893,1289720,,,,South Dublin,,,,,,,Private room in house,Private room,2,1,1,$45.00
245903,1289720,,,"Lucan, County Dublin, Ireland",South Dublin,,,,,,,Private room in house,Private room,1,1,1,$30.00
254941,1339322,,,"Blackrock, Dublin, Ireland",Dn Laoghaire-Rathdown,,,,,,,Private room in house,Private room,2,1,1,$44.00
261248,1370323,,,,Dn Laoghaire-Rathdown,,,,,,,Private room in bed and breakfast,Private room,2,1,1,$36.57
266654,1398274,Finglas,,"Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,1,1,1,$30.00
266856,1370323,,,,Dn Laoghaire-Rathdown,,,,,,,Private room in bed and breakfast,Private room,2,1,0,$37.00
275425,1357428,Sandymount,,"Sandymount, Dublin, Ireland",Dublin City,,,,,,,Entire house,Entire home/apt,6,2,3,$248.00
286635,1491424,Santry,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in bed and breakfast,Private room,3,1,3,$61.00
292757,1515549,Castleknock,,"Dublin, Ireland",Fingal,,,,,,,Entire house,Entire home/apt,9,4,5,$121.00
302554,1557844,Stoneybatter/Arbour Hill,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,5,1,3,$143.00
302634,1557844,Stoneybatter/Arbour Hill,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,2,1,2,$80.00
314639,1491424,Santry,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in bed and breakfast,Private room,2,1,1,$61.00
314640,1491424,Santry,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in bed and breakfast,Private room,2,1,2,$61.00
314641,1491424,Santry,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in bed and breakfast,Private room,2,1,1,$61.00
315698,1625811,Ringsend/Irishtown,,"Irishtown, Dublin, Ireland",Dublin City,,,,,,,Private room in apartment,Private room,2,1,0,$79.00
333950,1607393,The Liberties,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in townhouse,Private room,2,1,1,$66.00
345398,1339322,,,"Stillorgan, County Dublin, Ireland",Dn Laoghaire-Rathdown,,,,,,,Private room in house,Private room,2,1,1,$50.00
365854,1847391,North City Central/O'Connell Street,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,3,1,1,$88.00
374792,790601,Kilmainham,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,4,1,1,$127.00
386860,1935798,The Liberties,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire house,Entire home/apt,4,2,2,$164.00
393631,1968168,North Strand,,"Dublin, Ireland",Dublin City,,,,,,,Entire house,Entire home/apt,6,3,3,$180.00
419987,1557844,Stoneybatter/Arbour Hill,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire apartment,Entire home/apt,6,1,3,$164.00
420297,193005,Churchtown,,"Churchtown, Ireland",Dn Laoghaire-Rathdown,,,,,,,Private room in bungalow,Private room,2,1,2,$56.00
424596,2110301,North City Central/O'Connell Street,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire loft,Entire home/apt,3,1,1,$143.00
425164,2106659,Portobello,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,3,1,2,$110.00
426326,766611,Beaumont,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,3,1,2,$42.00
427077,2110301,North City Central/O'Connell Street,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire loft,Entire home/apt,3,1,2,$143.00
427495,766611,Beaumont,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,2,3,1,$42.00
449556,2232368,,,,Fingal,,,,,,,Private room in bungalow,Private room,4,1,3,$145.00
451611,1607393,The Liberties,,Ireland,Dublin City,,,,,,,Entire apartment,Entire home/apt,2,1,1,$86.00
460461,2289306,Santry,,,Fingal,,,,,,,Entire apartment,Entire home/apt,6,3,3,$200.00
468082,2115318,,,"Lucan, County Dublin, Ireland",South Dublin,,,,,,,Private room in house,Private room,6,3,4,$70.00
497136,608225,Sandymount,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in house,Private room,2,1,0,$55.00
519416,2556184,North City Central/O'Connell Street,,"Dublin, Dublin 1, Ireland",Dublin City,,,,,,,Private room in apartment,Private room,2,1,1,$55.00
522667,2110301,North City Central/O'Connell Street,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Entire loft,Entire home/apt,3,1,1,$143.00
526767,2340296,North City Central/O'Connell Street,,"Dublin, Ireland",Dublin City,,,,,,,Entire loft,Entire home/apt,4,,2,$300.00
536320,1334552,Smithfield,,"Dublin, County Dublin, Ireland",Dublin City,,,,,,,Private room in loft,Private room,2,1,1,$55.00
