id,street,neighbourhood,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,price_19_07,price_19_01,price_19_03,price_19_04,price_19_05,price_19_06,price_19_08,price_19_09,price_19_10,price_19_11,price_19_12,price_20_01,price_20_02,price_20_04,price_20_05,price_20_06,price_20_07
302554,Dublin;CountyDublin;Ireland,CityCentre,Dublin7,Dublin;Ireland,t,Apartment,Entirehome/apt,5,1,3,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00
302634,Dublin;CountyDublin;Ireland,CityCentre,Dublin7,Dublin;Ireland,t,Apartment,Entirehome/apt,2,1,2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
314639,Dublin;CountyDublin;Ireland,Santry,Dublin9,Dublin;Ireland,t,Bedandbreakfast,Privateroom,2,1,1,59.00,59.00,59.00,59.00,59.00,59.00,0,0,0,0,0,0,59.00,59.00,59.00,59.00,59.00
314640,Dublin;CountyDublin;Ireland,Santry,Dublin9,Dublin;Ireland,t,Bedandbreakfast,Privateroom,2,1,2,59.00,59.00,59.00,59.00,59.00,59.00,0,0,0,0,0,0,59.00,59.00,59.00,59.00,59.00
314641,Dublin;CountyDublin;Ireland,Santry,Dublin9,Dublin;Ireland,t,Bedandbreakfast,Privateroom,2,1,1,59.00,59.00,59.00,59.00,59.00,59.00,0,0,0,0,0,0,59.00,59.00,59.00,59.00,59.00
315698,Irishtown;Dublin;Ireland,Ringsend/Irishtown,D4,Irishtown;Ireland,t,Apartment,Privateroom,2,1,1,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,56.00,56.00,56.00,56.00,56.00
333950,Dublin;CountyDublin;Ireland,OldCity,Dublin8,Dublin;Ireland,t,Townhouse,Privateroom,2,1,1,49.00,49.00,49.00,49.00,49.00,49.00,60.00,60.00,60.00,60.00,0,60.00,60.00,60.00,60.00,60.00,60.00
345398,Stillorgan;CountyDublin;Ireland,Blackrock,,Stillorgan;Ireland,t,House,Privateroom,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,0,50.00,50.00,50.00,50.00,50.00,48.00,48.00,48.00,48.00,48.00
365854,Dublin;CountyDublin;Ireland,"NorthCityCentral/OConnellStreet",Dublin1,Dublin;Ireland,t,Apartment,Entirehome/apt,3,1,1,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00
374792,Dublin;CountyDublin;Ireland,Inchicore,Dublin8,Dublin;Ireland,t,Apartment,Entirehome/apt,4,1,1,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00
386860,Dublin;CountyDublin;Ireland,OldCity,Dublin8,Dublin;Ireland,t,House,Entirehome/apt,4,2,2,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00
393631,Dublin;Dublin;Ireland,EastWall,,Dublin;Ireland,t,House,Entirehome/apt,6,3,3,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00
419987,Dublin;CountyDublin;Ireland,Cabra,Dublin7,Dublin;Ireland,t,Apartment,Entirehome/apt,6,1,3,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00
420297,Churchtown;Ireland,Churchtown,Dublin14,Churchtown;Ireland,t,Bedandbreakfast,Privateroom,2,1,2,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
421239,Glasnevin;Dublin;Ireland,DublinIndustrialEstate,D11,Glasnevin;Ireland,t,Bedandbreakfast,Privateroom,2,1,2,90.00,75.00,85.00,85.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,100.00,100.00,0,0,0,0
424596,Dublin;CountyDublin;Ireland,CityCentre,,Dublin;Ireland,t,Loft,Entirehome/apt,3,0,1,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
425164,Dublin;CountyDublin;Ireland,Portobello,Dublin8,Dublin;Ireland,t,House,Privateroom,3,1,2,110.00,110.00,110.00,110.00,110.00,110.00,0,0,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
